timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1454978700.875818,191.099136,123.961746,-690.328491
1454978700.895868,192.075668,124.340485,-690.024414
1454978700.915948,191.774567,124.114594,-689.875305
1454978700.935998,191.398590,123.888184,-689.951538
1454978700.956048,191.097351,123.662582,-689.502441
1454978700.976129,190.799103,124.036453,-689.580444
1454978700.996179,191.924316,124.039963,-690.024170
1454978701.016229,191.473221,123.813522,-689.875916
1454978701.036309,191.321732,123.513229,-689.650696
1454978701.056360,191.022690,123.737320,-689.503174
1454978701.076410,190.872314,123.661850,-689.428711
1454978701.096490,191.998215,123.815384,-689.872986
1454978701.116540,190.872421,123.661636,-689.653687
1454978701.136590,191.022873,123.736938,-689.878113
1454978701.156640,191.097870,123.737198,-689.877686
1454978701.176690,191.246399,123.437958,-689.650818
1454978701.196740,191.997833,123.740463,-689.797729
1454978701.216821,190.797729,123.736450,-689.579407
1454978701.236871,190.947357,123.662048,-689.503296
1454978701.256921,191.098007,123.812637,-689.427979
1454978701.277002,190.872467,123.661560,-689.728699
1454978701.297052,191.773941,123.964508,-689.949768
1454978701.317102,191.022354,123.662323,-689.502869
1454978701.337182,191.170425,123.212631,-689.725464
1454978701.357232,190.720154,123.135880,-689.877686
1454978701.377282,189.666458,122.307098,-689.955566
1454978701.397332,189.889877,121.932602,-690.253052
1454978701.417382,188.309631,120.726654,-690.632507
1454978701.437433,187.629303,119.524078,-690.857056
1454978701.457452,187.323303,118.172714,-691.153931
1454978701.477502,186.867767,116.895615,-691.676941
1454978701.497552,187.835312,115.173279,-692.490479
1454978701.517572,186.398972,112.617798,-692.939392
1454978701.537622,186.690414,110.668213,-693.605835
1454978701.557672,187.208740,109.169800,-693.897644
1454978701.577752,187.876450,107.521759,-694.338135
1454978701.597802,188.996628,106.400146,-694.927917
1454978701.617852,189.064423,104.825516,-694.846985
1454978701.637903,190.332245,103.255051,-694.834412
1454978701.657953,190.702606,102.206085,-695.128601
1454978701.677972,191.223724,101.307495,-695.572510
1454978701.698053,192.795486,100.562714,-695.936157
1454978701.718072,192.866364,99.663055,-695.857605
1454978701.738122,193.687714,98.840759,-696.075134
1454978701.758142,194.510818,98.393387,-696.368958
1454978701.778192,194.582169,97.568451,-696.590637
1454978701.798242,196.828583,96.751038,-696.950256
1454978701.818261,197.276810,96.377716,-696.871460
1454978701.838311,197.724426,95.854309,-696.867126
1454978701.858392,198.246078,95.106033,-697.011597
1454978701.878442,199.446030,95.034683,-697.604614
1454978701.898492,199.746246,95.110977,-697.378296
1454978701.918542,199.443451,94.510056,-697.227783
1454978701.938562,200.041000,93.987320,-697.072632
1454978701.958612,200.190262,93.837936,-696.996277
1454978701.978631,201.015411,93.840576,-697.291748
1454978701.998681,201.690475,93.842804,-697.437988
